ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
Agta,Agta,,17.9571,121.857,cent2084,
Aiwoo,Aiwoo,,-10.282595,166.328715,ayiw1239,
AklanonBisayan,AklanonBisayan,,11.5543,122.354,akla1241,
Alune,Alune,,-3.11477,128.394,alun1238,
AmbaiYapen,AmbaiYapen,,-1.88126,136.526,amba1265,
AmbrymSouthEast,AmbrymSouthEast,,-16.2975,168.211,sout2859,
Anakalang,Anakalang,,-9.63425,119.605,anak1240,
AnejomAneityum,AnejomAneityum,,-20.1864,169.825,anei1239,
Anuta,Anuta,,-11.61,169.85,anut1237,
Aputai,Aputai,,-7.84732,126.496,aput1237,
ArakiSouthwestSanto,ArakiSouthwestSanto,,-15.632997,166.952542,arak1252,
Aria,Aria,,-5.71155,149.158,mouk1239,
As,As,,-0.75267,131.728,asss1237,
Asumboa,Asumboa,,-11.2969,166.499,asum1237,
Atoni,Atoni,,-9.77284,124.144,uabm1237,
AttaPamplona,AttaPamplona,,18.4738,121.3,pamp1244,
Avava,Avava,,-16.2701,167.484,katb1237,
Babatana,Babatana,,-7.22281,157.149,baba1268,
Babuyan,Babuyan,,,,babu1242,
Bajo,Bajo,,-3.68664,122.253,indo1317,
Balangaw,Balangaw,,17.0994,121.272,bala1310,
Bali,Bali,,-8.35714,115.075,bali1278,
Baliledo,Baliledo,,,,,
BanggaiW_D,BanggaiW_D,,-1.58305,123.171,bang1368,
BanjareseMalay,BanjareseMalay,,0.747105,115.79,banj1239,
Banoni,Banoni,,-6.23061,155.128,bann1247,
Bantik,Bantik,,1.44586,124.846,bant1286,
Baree,Baree,,-1.62663,121.268,pamo1252,
Basai,Basai,,25.0046,121.857,basa1287,
Belait,Belait,,4.96207,114.933,bela1260,
BerawanLongTerawan,BerawanLongTerawan,,3.9815,114.528,west2564,
BigaMisool,BigaMisool,,-1.8801,130.075,matb1237,
BikolNagaCity,BikolNagaCity,,13.7574,123.403,cent2087,
Bilibil,Bilibil,,-5.26505,145.764,bilb1241,
Bima,Bima,,-8.57376,118.445,bima1247,
Bintulu,Bintulu,,3.867,113.634,bint1246,
Binukid,Binukid,,8.15933,124.892,binu1244,
Bobot,Bobot,,-3.43514,130.179,bobo1254,
BolaangMongondow,BolaangMongondow,,0.64616,124.114,mong1342,
Bonerate,Bonerate,,-7.37657,121.792,bone1254,
Bonfia,Bonfia,,-3.29547,130.601,masi1266,
BontokGuinaang,BontokGuinaang,,,,guin1256,
BugineseSoppeng_D,BugineseSoppeng_D,,-4.47,119.977,bugi1244,
Bugotu,Bugotu,,-8.47948,159.802,bugh1239,
Bukat,Bukat,,1.29075,113.246,buka1261,
Buli,Buli,,1.0008,128.443,buli1255,
Buma,Buma,,-11.6752,166.868,tean1237,
Bunun,Bunun,,23.4116,121.025,bunu1267,
BuruNamroleBay,BuruNamroleBay,,-3.43957,126.632,buru1303,
Buyang,Buyang,,23.604572,106.030277,emab1235,
Bwaidoga,Bwaidoga,,-9.51158,150.297,bwai1242,
Canala,Canala,,-21.7034,165.996,xara1244,
Carolinian,Carolinian,,15.205,145.765,caro1242,
Cebuano,Cebuano,,8.38799,124.367,cebu1242,
CentralAmis,CentralAmis,,23.0917,121.348,amis1246,
CentralMasela,CentralMasela,,-8.15414,129.865,cent2072,
Chamorro,Chamorro,,13.438011,144.74474,cham1312,
ChekeHolo,ChekeHolo,,-8.27055,159.625,chek1238,
Chru,Chru,,11.6625,108.529,chru1239,
Chuukese,Chuukese,,7.346993,151.598607,chuu1238,
ChuukeseAKATrukese,ChuukeseAKATrukese,,7.346993,151.598607,chuu1238,
CiuliAtayal,CiuliAtayal,,24.5209,121.388,atay1247,
Dai,Dai,,-7.55894,129.687,daii1240,
DaweraDaweloor,DaweraDaweloor,,-7.76324,130.06,dawe1237,
DayakBakatiqSaraRiok,DayakBakatiqSaraRiok,,1.3307,109.576,beka1241,
DayakNgaju,DayakNgaju,,-1.58463,112.794,ngaj1237,
Dehu,Dehu,,-20.8892,167.229,dehu1237,
Diodio,Diodio,,-9.38654,150.168,diod1237,
Dobuan,Dobuan,,-9.63239,150.825,dobu1241,
DumagatCasiguran,DumagatCasiguran,,16.2176,121.878,casi1235,
ESKamberaSouthern_D,ESKamberaSouthern_D,,-9.88447,120.235,kamb1299,
ESLewa_D,ESLewa_D,,-9.88447,120.235,kamb1299,
ESUmbuRatuNggai_D,ESUmbuRatuNggai_D,,-9.88447,120.235,kamb1299,
EastMasela,EastMasela,,-8.13455,129.873,east2462,
ElatKeiBesar,ElatKeiBesar,,,,keib1237,
Emae,Emae,,-17.052,168.399,emae1237,
Emplawas,Emplawas,,-8.03209,129.721,empl1237,
Erai,Erai,,,,eray1237,
Favorlang,Favorlang,,24.0017,120.585,babu1240,
FijianBau,FijianBau,,,,bauu1243,
Futuna,Futuna,,-19.5303,170.215,futu1245,
FutunaEast,FutunaEast,,-14.278717,-178.137222,east2447,
FutunaWest,FutunaWest,,-19.5303,170.215,futu1245,
Gaddang,Gaddang,,16.5468,121.177,gadd1244,
Gapapaiwa,Gapapaiwa,,-9.73317,149.854,gapa1238,
GauraNggaura,GauraNggaura,,-9.6373,119.114,kodi1247,
Gayo,Gayo,,4.3733,97.3456,gayo1244,
Gedaged,Gedaged,,-5.18175,145.781,geda1237,
Geser,Geser,,-3.8016,130.701,gese1240,
GhariGuadalcanal,GhariGuadalcanal,,-9.4791,159.917,ghar1239,
Giman,Giman,,-0.42618,127.976,gane1237,
GorontaloHulondalo,GorontaloHulondalo,,0.62689,122.288,goro1259,
HainanCham,HainanCham,,18.3192,109.336,tsat1238,
Hanunoo,Hanunoo,,12.4159,121.221,hanu1241,
Hawaiian,Hawaiian,,19.6297,-155.43,hawa1245,
HituAmbon,HituAmbon,,-3.57478,128.186,hitu1239,
HoavaNewGeorgia,HoavaNewGeorgia,,-8.19679,157.595,hoav1238,
Iaai,Iaai,,-20.6301,166.59,iaai1238,
Iban,Iban,,2.09041,112.934,iban1264,
Ibanag,Ibanag,,17.4201,121.891,iban1267,
Idaan,Idaan,,5.29059,118.515,idaa1241,
IfiraMeleMeleFila,IfiraMeleMeleFila,,-17.6841,168.275,mele1250,
IfugaoAmganad,IfugaoAmganad,,16.9016,121.042,amga1235,
IfugaoBatad,IfugaoBatad,,16.8266,121.23,bata1298,
IfugaoBayninan,IfugaoBayninan,,16.7099,121.035,kele1259,
Iliun,Iliun,,-7.84385,125.902,iliu1237,
Ilokano,Ilokano,,15.9361,120.993,ilok1237,
Imorod,Imorod,,20.77,121.85,ivat1242,
Imroing,Imroing,,-7.96772,129.651,imro1237,
Inabaknon,Inabaknon,,12.4264,124.166,inab1237,
Indonesian,Indonesian,,-7.33458,109.716,indo1316,
Inibaloi,Inibaloi,,16.4263,120.695,ibal1244,
Iraralay,Iraralay,,20.77,121.85,ivat1242,
Isamorong,Isamorong,,20.77,121.85,ivat1242,
IsnegDibagatKabugaoIsneg,IsnegDibagatKabugaoIsneg,,18.2139,121.16,isna1241,
Itbayat,Itbayat,,20.77,121.85,ivat1242,
Itbayaten,Itbayaten,,20.77,121.85,ivat1242,
ItnegBinongan,ItnegBinongan,,17.5972,120.876,bino1237,
Ivasay,Ivasay,,20.77,121.85,ivat1242,
Javanese,Javanese,,-7.001,109.287,java1254,
Jawe,Jawe,,-20.6648,164.676,jawe1237,
Kaidipang,Kaidipang,,0.85641,123.217,kaid1239,
Kairiru,Kairiru,,-3.34608,143.558,kair1263,
KakidugenIlongot,KakidugenIlongot,,16.3785,121.547,ilon1239,
Kalagan,Kalagan,,6.8126,125.328,kala1388,
KalingaGuinaangLubuagan_D,KalingaGuinaangLubuagan_D,,17.3879,121.0365,lubu1243,
KallahanKayapaProper,KallahanKayapaProper,,16.321,120.9,kaya1320,
KallahanKeleyqiq,KallahanKeleyqiq,,16.7099,121.035,kele1259,
Kambera,Kambera,,-9.88447,120.235,kamb1299,
Kanakanabu,Kanakanabu,,23.3235,120.887,kana1286,
KankanayNorthern,KankanayNorthern,,17.1057,120.786,nort2877,
Kapampangan,Kapampangan,,14.9603,120.502,pamp1243,
Kapingamarangi,Kapingamarangi,,1.039166,154.797223,kapi1249,
KaraWest,KaraWest,,-2.81957,151.111,kara1486,
KasiraIrahutu,KasiraIrahutu,,-2.94438,133.586,irar1238,
Katingan,Katingan,,-1.58463,112.794,ngaj1237,
Kavalan,Kavalan,,24.6947,121.645,kava1241,
KayanUmaJuman,KayanUmaJuman,,2.71903,114.169,reja1241,
Kedang,Kedang,,-8.23039,123.77,keda1252,
KeiTanimbarKei,KeiTanimbarKei,,-5.63948,133.02,keii1239,
KelabitBario,KelabitBario,,3.31783,115.428,kela1258,
Kemak,Kemak,,-9.00299,125.159,kema1243,
KenyahLongAnap,KenyahLongAnap,,3.54443,114.039,main1275,
Kerinci,Kerinci,,-1.93668,101.403,keri1250,
KiaZabana,KiaZabana,,-7.74311,158.753,zaba1237,
Kilivila,Kilivila,,-8.72574,151.072,kili1267,
KilokakaYsabel,KilokakaYsabel,,-8.18719,159.255,zaza1245,
Kiribati,Kiribati,,0.179,173.64,gilb1244,
Kisar,Kisar,,-8.05122,127.18,kisa1266,
Kodi,Kodi,,-9.6373,119.114,kodi1247,
KoiwaiIrianJaya,KoiwaiIrianJaya,,-4.21954,133.468,kowi1239,
Kokota,Kokota,,-8.16481,159.191,koko1269,
Komering,Komering,,-3.79215,105.107,kome1238,
KoronadalBlaan,KoronadalBlaan,,6.20529,125.007,koro1310,
Kove,Kove,,-5.58623,149.63,kove1237,
Kuanua,Kuanua,,-4.30986,152.114,kuan1248,
Kusaie,Kusaie,,5.31,162.98,kosr1238,
Kwaio,Kwaio,,-8.93744,160.965,kwai1243,
Kwamera,Kwamera,,-19.5954,169.442,kwam1252,
KwaraaeSolomonIslands,KwaraaeSolomonIslands,,-8.75779,160.804,kwar1239,
Lahanan,Lahanan,,2.72734,113.947,laha1253,
Lakalai,Lakalai,,-5.59931,150.888,naka1262,
Lamaholot,Lamaholot,,-8.36439,122.803,lama1277,
LamboyaLaboya,LamboyaLaboya,,-9.70434,119.344,lamb1273,
Lampung,Lampung,,-5.73463,105.037,lamp1243,
Lau,Lau,,-8.51018,160.872,lauu1247,
Leipon,Leipon,,-1.9665,147.226,leip1237,
Lenakel,Lenakel,,-19.4763,169.261,lena1238,
Letinese,Letinese,,-8.19808,127.674,leti1246,
Levei,Levei,,-2.06626,146.746,kheh1237,
Likum,Likum,,-2.16157,146.695,liku1243,
LioFloresTongah,LioFloresTongah,,-8.68615,121.832,lioo1240,
Loniu,Loniu,,-2.06124,147.35,loni1238,
Lou,Lou,,-2.38659,147.346,louu1245,
Luang,Luang,,-8.18378,127.944,luan1263,
Luangiua,Luangiua,,-5.49029,159.701,onto1237,
LungaLungaMinigir,LungaLungaMinigir,,-4.31803,152.005,mini1251,
LwepeSantaCruz,LwepeSantaCruz,,-10.6771,165.835,natu1246,
Maanyan,Maanyan,,-2.1239,115.092,maan1238,
Madara,Madara,,-2.7828,151.956,mand1440,
Madurese,Madurese,,-7.0,113.0,nucl1460,
MagoriSouthEastPapua,MagoriSouthEastPapua,,-10.2321,149.26,mago1248,
Makassar,Makassar,,-5.65551,119.838,maka1311,
MalayBahasaIndonesia,MalayBahasaIndonesia,,-7.33458,109.716,indo1316,
Maleu,Maleu,,-5.61613,148.445,male1289,
MaloSantaCruz,MaloSantaCruz,,,,malo1246,
Maloh,Maloh,,1.3156,112.63,emba1238,
Mamanwa,Mamanwa,,9.44744,125.548,mama1275,
Mambai,Mambai,,-9.19552,125.475,mamb1306,
Mamboru,Mamboru,,-9.42302,119.55,mamb1305,
Manam,Manam,,-4.07921,145.033,mana1295,
Mangareva,Mangareva,,-23.1095,-134.97,mang1401,
Manggarai,Manggarai,,-8.55748,120.329,mang1405,
ManoboAtadownriver,ManoboAtadownriver,,7.7789,125.499,atam1240,
ManoboAtaupriver,ManoboAtaupriver,,7.7789,125.499,atam1240,
ManoboDibabawon,ManoboDibabawon,,7.85664,126.018,diba1242,
ManoboIlianenKibudtungan_D,ManoboIlianenKibudtungan_D,,7.34448,124.766,ilia1236,
ManoboKalamansigCotabatoParil_D,ManoboKalamansigCotabatoParil_D,,6.39417,124.234,cota1241,
ManoboSaranganiKayaponga_D,ManoboSaranganiKayaponga_D,,5.84903,125.499,sara1327,
ManoboTigwaIglogsad_D,ManoboTigwaIglogsad_D,,7.72124,125.16,mati1250,
Mansaka,Mansaka,,6.79221,126.181,mans1262,
Maori,Maori,,-38.2881,176.541,maor1246,
Mapun,Mapun,,6.09061,118.75,mapu1244,
Maranao,Maranao,,7.79414,124.175,mara1404,
MarovoNewGeorgia,MarovoNewGeorgia,,-8.37943,157.747,maro1244,
Marquesan,Marquesan,,-8.89412,-140.108,nort2845,
Marshallese,Marshallese,,8.72,167.73,mars1254,
MarshalleseE_D,MarshalleseE_D,,,,rata1243,
Masiwang,Masiwang,,-3.29547,130.601,masi1266,
Matukar,Matukar,,-4.9078,145.779,matu1261,
Maututu,Maututu,,-5.59931,150.888,naka1262,
Megiar,Megiar,,-4.69057,145.975,taki1248,
Mekeo,Mekeo,,-8.23853,146.586,meke1243,
MelanauMukah,MelanauMukah,,2.524086,111.346451,cent2101,
Melayu,Melayu,,3.08896,101.699,stan1306,
MelayuAmbon,MelayuAmbon,,-3.71342,128.184,ambo1250,
MelayuBrunei_D,MelayuBrunei_D,,4.456045,114.429505,brun1242,
Merei,Merei,,-15.2839,166.905,mere1242,
MerinaMalagasy,MerinaMalagasy,,,,meri1243,
Minangkabau,Minangkabau,,-0.896,100.44,mina1268,
MinyaifuinGebe,MinyaifuinGebe,,-0.07877,129.424,gebe1237,
Modang,Modang,,0.80793,116.573,moda1244,
Moken,Moken,,10.1474,98.6765,moke1242,
Mokilese,Mokilese,,6.65651,159.776,moki1238,
Molima,Molima,,-9.57457,150.614,moli1248,
Mor,Mor,,-2.87055,135.95,morm1235,
Mori,Mori,,-2.56016,121.37,mori1268,
Mortlockese,Mortlockese,,5.50735,153.710778,mort1237,
Mota,Mota,,-13.835361,167.690924,mota1237,
Motu,Motu,,-9.67492,147.424,motu1246,
Mouk,Mouk,,-5.71155,149.158,mouk1239,
MunaKatobuTongkuno_D,MunaKatobuTongkuno_D,,-5.40419,122.541,muna1247,
MurnatenAlune,MurnatenAlune,,-3.11477,128.394,alun1238,
Mussau,Mussau,,-1.44105,149.624,muss1246,
Mwotlap,Mwotlap,,-13.655015,167.706277,motl1237,
Nahavaq,Nahavaq,,-16.5116,167.477,sout2857,
NakanaiBileki_D,NakanaiBileki_D,,-5.59931,150.888,naka1262,
Nalik,Nalik,,-2.94411,151.332,nali1244,
Namakir,Namakir,,-16.8979,168.569,nama1268,
Naman,Naman,,-16.1331,167.415,litz1237,
Nanggu,Nanggu,,-10.7441,165.887,nang1262,
Nati,Nati,,-16.468709,167.496054,nati1244,
Nauna,Nauna,,-2.21213,148.201,naun1237,
NehanHape,NehanHape,,-4.56875,154.2,neha1247,
Nelemwa,Nelemwa,,-20.4035,164.193,kuma1276,
Nembao,Nembao,,-11.2958,166.498,amba1266,
Nengone,Nengone,,-21.5305,167.964,neng1238,
Nese,Nese,,-15.952608,167.222769,nese1235,
Neveei,Neveei,,-16.2253,167.427,vinm1237,
Ngadha,Ngadha,,-8.79508,120.976,ngad1261,
NgaiborSAru,NgaiborSAru,,-6.62046,134.168,west2538,
Nggela,Nggela,,-9.04587,160.186,gela1263,
Nguna,Nguna,,-17.5774,168.375,nort2836,
Nias,Nias,,0.90691,97.4961,nias1242,
Nila,Nila,,-6.734956,129.512131,nila1244,
Nissan,Nissan,,-4.56875,154.2,neha1247,
Niue,Niue,,-19.06,-169.86,niue1239,
NorthBabar,NorthBabar,,-7.84311,129.743,nort2860,
Nukuoro,Nukuoro,,3.84,154.975,nuku1260,
NumbamiSiboma,NumbamiSiboma,,-7.52806,147.298,numb1247,
Numfor,Numfor,,-0.9523,135.879,biak1248,
Ogan,Ogan,,-3.79673,103.137,cent2053,
OldChinese,OldChinese,,36.12,114.32,oldc1244,
OldJavanese,OldJavanese,,-7.001,109.287,java1254,
Orkon,Orkon,,-16.210501,168.212109,orko1234,
PaameseSouth,PaameseSouth,,-16.47548,168.23693,paam1238,
Paiwan,Paiwan,,22.3271,120.806,paiw1248,
Palauan,Palauan,,7.34138,134.476678,pala1344,
PalawanBatak,PalawanBatak,,10.1115,119.025,bata1301,
Pangasinan,Pangasinan,,15.9377,120.365,pang1290,
Patpatar,Patpatar,,-3.74711,152.493,patp1243,
Paulohi,Paulohi,,-3.25404,128.779,paul1238,
Pazeh,Pazeh,,23.7562,120.976,kulo1237,
Penrhyn,Penrhyn,,-9.082238,-157.922908,penr1237,
Perai,Perai,,-7.62349,126.576,pera1257,
PeteraraMaewo,PeteraraMaewo,,,,pete1237,
PhanRangChamEasternCham,PhanRangChamEasternCham,,11.2853,108.49,east2563,
Ponapean,Ponapean,,6.87212,158.223,pohn1238,
Pondok,Pondok,,-9.63425,119.605,anak1240,
Popalia,Popalia,,-5.7478,123.948,tuka1249,
PuloAnnan,PuloAnnan,,5.328596,132.221282,sons1242,
Puluwatese,Puluwatese,,7.35695,149.2005,pulu1242,
PunanKelai,PunanKelai,,1.97695,116.954,sega1243,
Puyuma,Puyuma,,22.643,120.996,puyu1239,
Raga,Raga,,-15.5432,168.167,hano1246,
RapanuiEasterIsland,RapanuiEasterIsland,,-27.113,-109.342,rapa1244,
Rarotongan,Rarotongan,,-21.23,-159.78,raro1241,
RejangRejang,RejangRejang,,-3.33056,102.434,reja1240,
Rennellese,Rennellese,,,,mung1271,
Ririo,Ririo,,-6.88927,156.92,riri1237,
RotiTermanu_D,RotiTermanu_D,,-10.7326,123.169,term1237,
Rotuman,Rotuman,,-12.5008,177.066,rotu1241,
Roviana,Roviana,,-8.20493,157.408,rovi1238,
Rukai,Rukai,,22.7738,120.844,ruka1240,
Rurutuan,Rurutuan,,,,ruru1237,
Saa,Saa,,-9.60258,161.467,saaa1240,
Saaroa,Saaroa,,23.2632,120.711,saar1237,
SaipanCarolinian,SaipanCarolinian,,15.205,145.765,caro1242,
Saisiat,Saisiat,,24.6043,121.067,sais1237,
SakaoPortOlry,SakaoPortOlry,,-15.0757,167.051,saka1289,
Saliba,Saliba,,-10.6148,150.727,sali1295,
SamalSiasi_D,SamalSiasi_D,,7.004574,118.455978,cent2092,
SambalBotolan,SambalBotolan,,15.2315,120.164,boto1242,
Samoan,Samoan,,-13.92,-171.83,samo1305,
SangilSaraganiIslands,SangilSaraganiIslands,,5.40229,125.378,sang1337,
Sangir,Sangir,,3.0,125.5,sang1336,
SangirTabukang_D,SangirTabukang_D,,3.0,125.5,sang1336,
SantaAna,SantaAna,,-10.82553,162.30467,owaa1237,
SaranganiBlaan,SaranganiBlaan,,6.03691,125.354,sara1326,
Sasak,Sasak,,-8.58349,116.284,sasa1249,
Satawalese,Satawalese,,7.36084,147.038,sata1237,
Savu,Savu,,-10.5522,121.847,sabu1255,
Sediq,Sediq,,23.9032,121.358,taro1264,
Seimat,Seimat,,-1.2666667,144.25,seim1238,
Sekar,Sekar,,-2.65849,132.469,seka1247,
Selaru,Selaru,,-8.18376,130.961,sela1259,
Sengseng,Sengseng,,-6.16474,149.784,seng1281,
Serili,Serili,,-8.11241,129.901,seri1255,
Serua,Serua,,-6.31107,130.017294,seru1245,
Siar,Siar,,-4.62059,152.892,siar1238,
Sika,Sika,,-8.67302,122.38,sika1262,
Sikaiana,Sikaiana,,-8.378194,162.72952,sika1261,
Simbo,Simbo,,-8.26947,156.541,simb1256,
Singhi,Singhi,,1.54467,109.985,baub1235,
Siraya,Siraya,,22.9777,120.315,sira1267,
Sisingga,Sisingga,,-7.22281,157.149,baba1268,
Soa,Soa,,-8.6778,121.04764,cent2074,
Soboyo,Soboyo,,-1.79516,124.869,tali1262,
SouthEastBabar,SouthEastBabar,,-7.94359,129.8,sout2883,
SouthEfate,SouthEfate,,-17.7006,168.377,sout2856,
SquliqAtayal,SquliqAtayal,,24.5209,121.388,atay1247,
Suau,Suau,,-10.6606,150.21,suau1242,
SubanonSiocon,SubanonSiocon,,7.79964,122.341,west2557,
SubanunSindangan,SubanunSindangan,,8.12701,123.018,cent2089,
Sunda,Sunda,,-6.89708,107.106,sund1252,
Surigaonon,Surigaonon,,9.0,126.0,suri1273,
SyeErromangan,SyeErromangan,,-18.8181,169.166,siee1239,
Tabar,Tabar,,-2.7828,151.956,mand1440,
TaeSToraja,TaeSToraja,,-2.97144,119.829,tora1261,
Tagalog,Tagalog,,14.06,121.747,taga1270,
TagbanwaAborlan_D,TagbanwaAborlan_D,,10.6519,119.338,cent2090,
TagbanwaKalamianCoronIsland_D,TagbanwaKalamianCoronIsland_D,,12.0716,120.094,cala1258,
TahitianModern,TahitianModern,,-17.6485,-149.45,tahi1242,
Taiof,Taiof,,-5.64103,154.732,sapo1253,
Takuu,Takuu,,-4.773094,157.032085,taku1257,
Talur,Talur,,-8.61074,125.959,galo1243,
Tanema,Tanema,,-11.68,166.97,tane1237,
Tanimbili,Tanimbili,,-11.2975,166.507,tani1255,
TannaSouthwest,TannaSouthwest,,-19.57953,169.35603,sout2869,
Tape,Tape,,-16.0695,167.33,mara1399,
TausugJolo_D,TausugJolo_D,,5.12236,118.88,taus1251,
TboliTagabili,TboliTagabili,,6.20377,124.538,tbol1240,
Teanu,Teanu,,-11.6752,166.868,tean1237,
TelaMasbuar,TelaMasbuar,,-8.01195,129.687,tela1241,
Teop,Teop,,-5.67474,154.971,teop1238,
Tetum,Tetum,,-8.58405,125.583,tetu1246,
Teun,Teun,,-6.97086,129.143718,teun1241,
Thao,Thao,,23.8333,120.93,thao1240,
Tiang,Tiang,,-2.95505,150.935,tian1237,
Tigak,Tigak,,-2.70951,150.893,tiga1245,
Tikopia,Tikopia,,-12.2766,168.822,tiko1237,
TimugonMurut,TimugonMurut,,5.1796,115.826,timu1262,
Toambaita,Toambaita,,-8.39233,160.619,toab1237,
TobaBatak,TobaBatak,,2.35498,99.1761,bata1289,
Tokelau,Tokelau,,-9.227642,-171.780833,toke1240,
Tolo,Tolo,,-9.76764,160.231,tali1259,
Tongan,Tongan,,-21.17,-175.25,tong1325,
Tontemboan,Tontemboan,,1.24813,124.654,tont1239,
Tsou,Tsou,,23.216,120.787,tsou1248,
Tuamotu,Tuamotu,,-16.17259,-146.321755,tuam1242,
Tugun,Tugun,,-7.72555,126.7,tugu1245,
TungagTungakLavongai,TungagTungakLavongai,,-2.52188,150.198,tung1290,
Tunjung,Tunjung,,-0.29048,115.883,tunj1244,
Tuvalu,Tuvalu,,-8.520813,179.198088,tuva1244,
Ubir,Ubir,,-9.59044,149.396,ubir1237,
UjirNAru,UjirNAru,,-5.69329,134.257,ujir1237,
Ura,Ura,,-18.6747,169.084,urav1235,
UveaEast,UveaEast,,-13.2903,-176.207,wall1257,
UveaWest,UveaWest,,-20.4145,166.589,west2516,
VaeakauTaumako,VaeakauTaumako,,-10.173335,166.247188,pile1238,
VaghuaChoiseul,VaghuaChoiseul,,-6.68712,156.542,vagh1249,
Vano,Vano,,-11.6107,166.7984,vano1237,
Varisi,Varisi,,-6.83443,156.655,vari1239,
Vitu,Vitu,,-4.69751,149.489,mudu1242,
WBukidnonManobo,WBukidnonManobo,,7.6682,124.825,west2555,
Wanukaka,Wanukaka,,-9.69834,119.468,wanu1241,
Waropen,Waropen,,-2.31142,136.633,waro1242,
Watubela,Watubela,,-4.47294,131.641,watu1247,
WejewaTanaRighu_D,WejewaTanaRighu_D,,-9.55099,119.349,weje1237,
Werinama,Werinama,,-3.43514,130.179,bobo1254,
WindesiWandamen,WindesiWandamen,,-2.25622,133.996,wand1267,
Wogeo,Wogeo,,-3.20238,144.089,woge1237,
Woleai,Woleai,,7.37957,143.916,wole1240,
Woleaian,Woleaian,,7.37957,143.916,wole1240,
Wolio,Wolio,,-5.33,122.67,woli1241,
Wuna,Wuna,,-5.40419,122.541,muna1247,
Wuvulu,Wuvulu,,-1.73938,142.851,wuvu1239,
Yakan,Yakan,,6.531023,122.021729,yaka1277,
Yamdena,Yamdena,,-7.73722,131.44,yamd1240,
Yami,Yami,,22.055,121.544,yami1254,
